gene,scores,log2FC,pvals,padj,significance
AC115485.1,-0.05854374,-0.7239366,0.9533155225300518,0.9999916980191528,NS
NECAB2,-0.058545154,-0.6839999,0.9533143970310048,0.9999916980191528,NS
AC090791.1,-0.058545154,-0.67085654,0.9533143970310048,0.9999916980191528,NS
LINC01337,-0.05854785,-0.6934379,0.9533122483512645,0.9999916980191528,NS
AL596442.2,-0.058554403,-0.75298405,0.9533070301304509,0.9999916980191528,NS
AC093227.3,-0.058554787,-0.31426075,0.9533067231763478,0.9999916980191528,NS
PLAAT1,-0.05855877,-0.73656714,0.9533035513176873,0.9999916980191528,NS
GPR75,-0.058563136,-0.779342,0.9533000725058134,0.9999916980191528,NS
AC008937.3,-0.058564678,-0.1855009,0.9532988446900704,0.9999916980191528,NS
AC007342.1,-0.058594994,-0.34799126,0.953274697669653,0.9999916980191528,NS
ARHGAP29-AS1,-0.058621585,-0.13827105,0.9532535179031567,0.9999916980191528,NS
AC055840.1,-0.05871998,-1.548287,0.9531751428225943,0.9999916980191528,NS
AL162632.1,-0.05871998,-1.5218947,0.9531751428225943,0.9999916980191528,NS
ODF3,-0.05872011,-1.5411181,0.9531750405055526,0.9999916980191528,NS
AL355482.1,-0.05872024,-1.5519329,0.9531749381885116,0.9999916980191528,NS
LINC01304,-0.058727946,-1.9318267,0.9531687991674661,0.9999916980191528,NS
CERNA2,-0.05873707,-0.4528692,0.9531615346628185,0.9999916980191528,NS
AC092813.1,-0.05874516,-0.4406192,0.9531550886971645,0.9999916980191528,NS
AL135905.2,-0.058897123,-0.16507925,0.9530340483560605,0.9999916980191528,NS
AL157373.2,-0.058908943,-0.59376734,0.953024635289522,0.9999916980191528,NS
SMIM6,-0.05891267,-0.63658017,0.9530216681286019,0.9999916980191528,NS
BOLA3-AS1,-0.058914468,-0.2714024,0.9530202357063219,0.9999916980191528,NS
AP003774.2,-0.058919862,-0.6429161,0.9530159384403922,0.9999916980191528,NS
AC078846.1,-0.05903958,-0.098793834,0.9529205804148079,0.9999916980191528,NS
AL121990.1,-0.059082873,-1.1748855,0.9528861002645396,0.9999916980191528,NS
LINC02003,-0.05908878,-1.2039883,0.9528813937820244,0.9999916980191528,NS
STPG3,-0.059091095,-1.3503972,0.9528795521154007,0.9999916980191528,NS
AC083843.1,-0.059091095,-1.2902929,0.9528795521154007,0.9999916980191528,NS
PCDHA11,-0.059092894,-1.3835537,0.9528781197082005,0.9999916980191528,NS
AC022903.2,-0.05909469,-1.4332756,0.9528766873011526,0.9999916980191528,NS
AC124319.2,-0.05909469,-1.4206576,0.9528766873011526,0.9999916980191528,NS
AC079148.1,-0.059097517,-1.5757285,0.9528744363760993,0.9999916980191528,NS
AL079303.1,-0.059098803,-1.5484843,0.952873413228472,0.9999916980191528,NS
LMLN-AS1,-0.059101626,-1.6498104,0.9528711623039653,0.9999916980191528,NS
TMED1,-0.05911139,-0.10932274,0.9528633863858353,0.9999916980191528,NS
FAM242C,-0.059124622,-0.43719122,0.952852847977637,0.9999916980191528,NS
AC093627.5,-0.05913464,-0.23794822,0.9528448674409915,0.9999916980191528,NS
Z96074.1,-0.059267208,-0.16840607,0.9527392792477558,0.9999916980191528,NS
ADSSL1,-0.05940581,-0.2758466,0.9526288831770605,0.9999916980191528,NS
AC004771.2,-0.059462976,-1.19004,0.9525833540149404,0.9999916980191528,NS
LINC02536,-0.059465416,-1.2214625,0.9525814100766309,0.9999916980191528,NS
HPDL,-0.059465803,-1.2202665,0.9525811031390288,0.9999916980191528,NS
ORM2,-0.059468113,-1.3386371,0.9525792615135642,0.9999916980191528,NS
DGCR11,-0.05952245,-0.06430096,0.952535983388067,0.9999916980191528,NS
DCPS,-0.059536196,-0.060175158,0.9525250359884276,0.9999916980191528,NS
AL359644.1,-0.059604663,-0.07831639,0.9524705037480208,0.9999916980191528,NS
AC025164.2,-0.059627272,-0.4135565,0.952452496903241,0.9999916980191528,NS
AC009053.3,-0.05978669,-0.23576804,0.9523255288747745,0.9999916980191528,NS
LINC00427,-0.05983306,-0.32992807,0.9522885948083041,0.9999916980191528,NS
C2CD4D,-0.0598346,-1.1032319,0.9522873670848622,0.9999916980191528,NS
USP12-AS2,-0.0598364,-1.1210253,0.9522859347409899,0.9999916980191528,NS
AC073283.2,-0.059836656,-1.1132985,0.9522857301204493,0.9999916980191528,NS
AC093426.1,-0.059836913,-1.1181031,0.9522855254999119,0.9999916980191528,NS
AC034111.1,-0.05983897,-1.1240274,0.9522838885357253,0.9999916980191528,NS
AC087289.1,-0.05984282,-1.2277879,0.9522808192284183,0.9999916980191528,NS
AC021097.1,-0.05984321,-0.15343192,0.9522805122977266,0.9999916980191528,NS
STXBP5L,-0.059845135,-0.1580548,0.952278977644374,0.9999916980191528,NS
AC007365.1,-0.059923492,-0.14536944,0.9522165685580248,0.9999916980191528,NS
AC007272.1,-0.05999093,-0.36804557,0.9521628560543961,0.9999916980191528,NS
AC011753.2,-0.06001778,-0.48272225,0.9521414734229359,0.9999916980191528,NS
AC027796.4,-0.0601718,-0.167581,0.9520188053087207,0.9999916980191528,NS
AC068875.1,-0.060183488,-0.16671541,0.9520094952646962,0.9999916980191528,NS
AC073534.2,-0.060193382,-0.7590612,0.9520016175402528,0.9999916980191528,NS
AC008625.1,-0.0602016,-0.8892958,0.9519950698248042,0.9999916980191528,NS
AC016747.3,-0.06021162,-1.071648,0.9519870898009828,0.9999916980191528,NS
LINC02731,-0.060249,-0.40656918,0.9519573182161405,0.9999916980191528,NS
AC008522.1,-0.06029923,-0.27031854,0.9519173159517078,0.9999916980191528,NS
AC090515.4,-0.06040212,-0.51379675,0.9518353679572162,0.9999916980191528,NS
AC105402.4,-0.060565777,-0.7906266,0.9517050297496406,0.9999916980191528,NS
AC027020.1,-0.060565777,-0.73577565,0.9517050297496406,0.9999916980191528,NS
FCSK,-0.060567446,-0.04889046,0.9517036997745832,0.9999916980191528,NS
AC104463.2,-0.06057117,-0.8573516,0.9517007329076322,0.9999916980191528,NS
PCDHA5,-0.060571685,-0.8142854,0.9517003236846571,0.9999916980191528,NS
LINC01562,-0.060572583,-0.30940816,0.9516996075444811,0.9999916980191528,NS
LRRC26,-0.06057297,-0.8412119,0.9516993006272749,0.9999916980191528,NS
AL133476.1,-0.06057631,-0.8817106,0.9516966406784536,0.9999916980191528,NS
LINC01962,-0.060582735,-0.9407199,0.9516915253937716,0.9999916980191528,NS
LINC01901,-0.060585044,-0.9846347,0.9516896838917732,0.9999916980191528,NS
AC068790.3,-0.060585044,-1.0068448,0.9516896838917732,0.9999916980191528,NS
AL391069.1,-0.060585815,-1.0075829,0.9516890700578311,0.9999916980191528,NS
FICD,-0.06059378,-0.12886684,0.9516827271087744,0.9999916980191528,NS
RASGEF1C,-0.06060855,-0.21857281,0.9516709619694355,0.9999916980191528,NS
LGI4,-0.060612533,-0.1864702,0.9516677904988943,0.9999916980191528,NS
AC007402.1,-0.060645033,-0.09938924,0.9516419072356799,0.9999916980191528,NS
LINC02842,-0.06067728,-0.54026675,0.9516162286336527,0.9999916980191528,NS
LINC01765,-0.06074947,-0.40636796,0.9515587333005665,0.9999916980191528,NS
FAM104B,-0.060750753,-0.17785685,0.9515577102542175,0.9999916980191528,NS
LINC02390,-0.06075923,-0.47463614,0.9515509581503163,0.9999916980191528,NS
AC016700.3,-0.060782354,-0.5254668,0.9515325433391747,0.9999916980191528,NS
AC114811.2,-0.060787365,-0.5459979,0.9515285534668382,0.9999916980191528,NS
AL355922.4,-0.060792632,-0.5812603,0.9515243589869741,0.9999916980191528,NS
HSF1,-0.060882807,-0.032329198,0.9514525415157977,0.9999916980191528,NS
NHS-AS1,-0.060919933,-0.17213191,0.9514229757483297,0.9999916980191528,NS
AC068790.6,-0.060947165,-0.79510146,0.9514012874077871,0.9999916980191528,NS
ASH1L-IT1,-0.06096489,-0.9955392,0.9513871695450774,0.9999916980191528,NS
GINS2,-0.060994565,-0.4007762,0.9513635375046895,0.9999916980191528,NS
AL445253.1,-0.06111172,-0.3496559,0.9512702373995787,0.9999916980191528,NS
AL050344.1,-0.061144475,-0.47619462,0.9512441503185763,0.9999916980191528,NS
PAH,-0.06125983,-0.35793316,0.9511522832887047,0.9999916980191528,NS
ZSCAN16,-0.061267663,-0.12864006,0.9511460429015227,0.9999916980191528,NS
OOSP1,-0.06130877,-0.6415995,0.9511133064932646,0.9999916980191528,NS
KCNQ5-AS1,-0.061318018,-0.75169843,0.9511059408127742,0.9999916980191528,NS
FNDC11,-0.06131969,-0.74425966,0.9511046108986865,0.9999916980191528,NS
AC021491.4,-0.061319817,-0.77851135,0.9511045085976084,0.9999916980191528,NS
LINC02421,-0.06133061,-0.9042181,0.9510959153099303,0.9999916980191528,NS
AL355075.3,-0.061337803,-0.969138,0.9510901864546375,0.9999916980191528,NS
AC093801.1,-0.061415516,-0.15403564,0.9510282945185125,0.9999916980191528,NS
PRB1,-0.06150878,-0.091201454,0.9509540245851346,0.9999916980191528,NS
AL360169.3,-0.061516743,-0.48283696,0.95094768199348,0.9999916980191528,NS
AC099508.2,-0.06151944,-0.4871106,0.9509455336970113,0.9999916980191528,NS
RASGRP2,-0.061522264,-0.07459326,0.950943283101093,0.9999916980191528,NS
AC068985.1,-0.061522778,-0.4811958,0.9509428739018772,0.9999916980191528,NS
AL603832.1,-0.061585337,-0.091370836,0.950893053994043,0.9999916980191528,NS
AC005394.1,-0.061685532,-0.6589587,0.9508132607018023,0.9999916980191528,NS
SLCO1B1,-0.06168733,-0.66783863,0.9508118285190086,0.9999916980191528,NS
OCM,-0.06169324,-0.7198834,0.9508071227766625,0.9999916980191528,NS
AL160291.1,-0.061694782,-0.78670585,0.9508058951919847,0.9999916980191528,NS
GPR179,-0.06169915,-0.8026693,0.9508024170360316,0.9999916980191528,NS
HOXA2,-0.06170917,-0.8648844,0.9507944377406223,0.9999916980191528,NS
MTERF3,-0.061752073,-0.09340921,0.9507602700442892,0.9999916980191528,NS
AL137001.2,-0.06181733,-0.12694946,0.9507083025839154,0.9999916980191528,NS
FGF12-AS1,-0.0618691,-0.40136737,0.9506670765784336,0.9999916980191528,NS
AC099684.1,-0.061876293,-2.3642492,0.9506613479131802,0.9999916980191528,NS
AC006116.10,-0.06187706,-2.4592972,0.9506607341277686,0.9999916980191528,NS
AL713852.2,-0.06187706,-2.4760191,0.9506607341277686,0.9999916980191528,NS
AC104187.1,-0.06187886,-2.7711596,0.950659301961922,0.9999916980191528,NS
IBA57-DT,-0.06187886,-2.6833155,0.950659301961922,0.9999916980191528,NS
AC009509.4,-0.06187989,-2.9002762,0.9506584835815098,0.9999916980191528,NS
FABP12,-0.061880402,-2.9311042,0.9506580743913232,0.9999916980191528,NS
SPINK14,-0.06188066,-2.8857706,0.9506578697962348,0.9999916980191528,NS
AC007350.1,-0.061880916,-3.0050888,0.9506576652011496,0.9999916980191528,NS
LRRC14,-0.062008344,-0.053737793,0.950556186440089,0.9999916980191528,NS
CACNA1C-AS1,-0.06200873,-0.19140306,0.9505558795498897,0.9999916980191528,NS
AC100839.1,-0.062037375,-0.26195928,0.950533067398953,0.9999916980191528,NS
AC009292.2,-0.062051248,-0.58842415,0.9505220193762981,0.9999916980191528,NS
AL138921.1,-0.062064867,-0.6963675,0.9505111759559034,0.9999916980191528,NS
AL355053.1,-0.062078483,-0.8146861,0.9505003325446726,0.9999916980191528,NS
AP000426.1,-0.062083364,-0.8364582,0.9504964452862744,0.9999916980191528,NS
AC140725.1,-0.062246248,-1.7491457,0.9503667342873734,0.9999916980191528,NS
AC063919.2,-0.062246248,-1.737803,0.9503667342873734,0.9999916980191528,NS
AL160411.1,-0.062246505,-1.7642012,0.9503665296969304,0.9999916980191528,NS
KCNA1,-0.062248044,-1.8847733,0.9503653021543409,0.9999916980191528,NS
AL591846.2,-0.062249586,-2.1084085,0.9503640746118692,0.9999916980191528,NS
AL592494.1,-0.0622501,-2.0071712,0.9503636654310715,0.9999916980191528,NS
AC009088.3,-0.06225087,-2.159963,0.9503630516598995,0.9999916980191528,NS
AC090260.1,-0.06225267,-2.2803206,0.9503616195272794,0.9999916980191528,NS
AC016994.1,-0.06225344,-2.2900808,0.9503610057562055,0.9999916980191528,NS
AC129492.2,-0.0622537,-2.3242543,0.9503608011658541,0.9999916980191528,NS
AC107909.2,-0.062277846,-0.48181465,0.9503415696874338,0.9999916980191528,NS
AP005717.2,-0.062284783,-0.19622368,0.9503360457574894,0.9999916980191528,NS
AC018607.1,-0.062286325,-0.50621754,0.950334818217826,0.9999916980191528,NS
AC114781.2,-0.06236391,-0.055543423,0.9502730322070858,0.9999916980191528,NS
AL133247.1,-0.062406562,-0.45438632,0.9502390704874276,0.9999916980191528,NS
AL137071.1,-0.062426213,-0.5797681,0.9502234194843927,0.9999916980191528,NS
LINC02546,-0.062431354,-0.63254964,0.9502193277220595,0.9999916980191528,NS
AC064836.3,-0.06243906,-0.69830453,0.9502131900810209,0.9999916980191528,NS
AC024267.6,-0.06259706,-0.32512733,0.9500873690911692,0.9999916980191528,NS
AC010809.3,-0.062619284,-1.5762887,0.9500696724175508,0.9999916980191528,NS
AC010336.2,-0.06262159,-1.7559288,0.9500678311465655,0.9999916980191528,NS
