pathway,ligand,receptor,sender,receiver,COVID,Control,log2FC
Chemokine_signaling,CCL3,CCR5,Mast_cell,B_cell,3.8006892e-05,0.0,0.05381604
Chemokine_signaling,CCL3,CCR5,Mast_cell,Endothelial,6.8278778e-06,1.2912349e-05,-0.008692253
Chemokine_signaling,CCL3,CCR5,Mast_cell,Epithelial,3.2013997e-06,7.928503e-06,-0.006781971
Chemokine_signaling,CCL3,CCR5,Mast_cell,Fibroblast,1.4425017e-06,1.567981e-05,-0.020366173
Chemokine_signaling,CCL3,CCR5,Mast_cell,Mast_cell,8.159902e-06,0.0,0.011724442
Chemokine_signaling,CCL3,CCR5,Mast_cell,Myeloid,7.919713e-05,9.338359e-05,-0.018841261
Chemokine_signaling,CCL3,CCR5,Mast_cell,NK_cell,0.00036842885,0.00013195974,0.27369785
Chemokine_signaling,CCL3,CCR5,Mast_cell,Plasma_cell,9.011931e-06,2.9954288e-05,-0.02963699
Chemokine_signaling,CCL3,CCR5,Mast_cell,T_cell,0.0002950129,0.00028929074,0.0063887476
Chemokine_signaling,CCL3,CCR5,Myeloid,B_cell,0.00035802316,0.0,0.441508
Chemokine_signaling,CCL3,CCR5,Myeloid,Endothelial,6.4318294e-05,9.1150156e-05,-0.035919968
Chemokine_signaling,CCL3,CCR5,Myeloid,Epithelial,3.0157038e-05,5.5968452e-05,-0.03570241
Chemokine_signaling,CCL3,CCR5,Myeloid,Fibroblast,1.3588299e-05,0.000110686065,-0.1319792
Chemokine_signaling,CCL3,CCR5,Myeloid,Mast_cell,7.68659e-05,0.0,0.10683862
Chemokine_signaling,CCL3,CCR5,Myeloid,Myeloid,0.0007460333,0.0006592084,0.073585905
Chemokine_signaling,CCL3,CCR5,Myeloid,NK_cell,0.0034705827,0.000931523,1.210724
Chemokine_signaling,CCL3,CCR5,Myeloid,Plasma_cell,8.489197e-05,0.00021145168,-0.1591854
Chemokine_signaling,CCL3,CCR5,Myeloid,T_cell,0.002779008,0.0020421455,0.31291837
Chemokine_signaling,CCL3,CCR5,NK_cell,B_cell,0.001542106,0.0,1.3460242
Chemokine_signaling,CCL3,CCR5,NK_cell,Endothelial,0.00027703692,0.00010628327,0.20707943
Chemokine_signaling,CCL3,CCR5,NK_cell,Epithelial,0.0001298948,6.526056e-05,0.08498206
Chemokine_signaling,CCL3,CCR5,NK_cell,Fibroblast,5.8528614e-05,0.00012906261,-0.093065195
Chemokine_signaling,CCL3,CCR5,NK_cell,Mast_cell,0.00033108296,0.0,0.4126005
Chemokine_signaling,CCL3,CCR5,NK_cell,Myeloid,0.0032133746,0.00076865277,1.2523253
Chemokine_signaling,CCL3,CCR5,NK_cell,NK_cell,0.014948772,0.0010861781,2.9345112
Chemokine_signaling,CCL3,CCR5,NK_cell,Plasma_cell,0.0003656535,0.00024655773,0.13164175
Chemokine_signaling,CCL3,CCR5,NK_cell,T_cell,0.011969966,0.0023811907,1.9395714
Chemokine_signaling,CCL3,CCR5,Plasma_cell,B_cell,1.1305708e-05,0.0,0.01621915
Chemokine_signaling,CCL3,CCR5,Plasma_cell,Endothelial,2.0310524e-06,2.2692971e-05,-0.02944574
Chemokine_signaling,CCL3,CCR5,Plasma_cell,Epithelial,9.5230337e-07,1.3934047e-05,-0.01859072
Chemokine_signaling,CCL3,CCR5,Plasma_cell,Fibroblast,4.2909332e-07,2.7556682e-05,-0.03859906
Chemokine_signaling,CCL3,CCR5,Plasma_cell,Mast_cell,2.4272827e-06,0.0,0.003497496
Chemokine_signaling,CCL3,CCR5,Plasma_cell,Myeloid,2.355835e-05,0.00016411817,-0.18564403
Chemokine_signaling,CCL3,CCR5,Plasma_cell,NK_cell,0.00010959457,0.0002319143,-0.15086935
Chemokine_signaling,CCL3,CCR5,Plasma_cell,Plasma_cell,2.680731e-06,5.2643543e-05,-0.070154764
Chemokine_signaling,CCL3,CCR5,Plasma_cell,T_cell,8.775592e-05,0.00050841767,-0.4716811
Chemokine_signaling,CCL3,CCR5,T_cell,B_cell,0.0002135039,0.0,0.2791788
Chemokine_signaling,CCL3,CCR5,T_cell,Endothelial,3.8355636e-05,8.233187e-06,0.042471133
Chemokine_signaling,CCL3,CCR5,T_cell,Epithelial,1.7983879e-05,5.055381e-06,0.018439785
Chemokine_signaling,CCL3,CCR5,T_cell,Fibroblast,8.10326e-06,9.997779e-06,-0.0027087743
Chemokine_signaling,CCL3,CCR5,T_cell,Mast_cell,4.583829e-05,0.0,0.064659886
Chemokine_signaling,CCL3,CCR5,T_cell,Myeloid,0.0004448903,5.9543352e-05,0.44751754
Chemokine_signaling,CCL3,CCR5,T_cell,NK_cell,0.002069651,8.4140316e-05,1.5015229
Chemokine_signaling,CCL3,CCR5,T_cell,Plasma_cell,5.0624567e-05,1.9099487e-05,0.043952443
Chemokine_signaling,CCL3,CCR5,T_cell,T_cell,0.0016572365,0.0001844579,1.1656996
Chemokine_signaling,CXCL10,CXCR3,B_cell,B_cell,4.346416e-05,3.280345e-06,0.056656234
Chemokine_signaling,CXCL10,CXCR3,B_cell,Endothelial,2.869671e-06,0.0,0.0041340375
Chemokine_signaling,CXCL10,CXCR3,B_cell,Epithelial,1.3321086e-06,1.2271323e-06,0.00015133679
Chemokine_signaling,CXCL10,CXCR3,B_cell,Fibroblast,8.774896e-07,1.4616626e-06,-0.00084175664
Chemokine_signaling,CXCL10,CXCR3,B_cell,Mast_cell,0.0,0.0,0.0
